id,cellLine,passaged_from_id1,passage_id,passage,adjPass,date,num_date,correctedCount,label_value,sublabel_value,oxygen_pct,g,intercept,Ploidy,K
SUM-159_NLS_2N_C_A1_seed,SUM-159,SUM-159_NLS_2N_dp_seedT1,SUM-159_NLS_2N_C_A1_seed,6,1,11/15/24,0,614919,2N,control,20.5,0.846064497,614919,2,14000000
SUM-159_NLS_2N_C_A1_seedT1,SUM-159,SUM-159_NLS_2N_C_A1_seed,SUM-159_NLS_2N_C_A1_seed,6,1,11/18/24,3,7782898,2N,control,20.5,0.846064497,614919,2,14000000
SUM-159_NLS_2N_C_A10_seed,SUM-159,SUM-159_NLS_2N_C_A9_seedT1,SUM-159_NLS_2N_C_A10_seed,15,10,12/20/24,0,797221,2N,control,20.5,0.848424239,797221,2,14000000
SUM-159_NLS_2N_C_A10_seedT1,SUM-159,SUM-159_NLS_2N_C_A10_seed,SUM-159_NLS_2N_C_A10_seed,15,10,12/23/24,3,10161940,2N,control,20.5,0.848424239,797221,2,14000000
SUM-159_NLS_2N_C_A11_seed,SUM-159,SUM-159_NLS_2N_C_A10_seedT1,SUM-159_NLS_2N_C_A11_seed,16,11,12/25/24,0,372317,2N,control,20.5,1.189354391,372317,2,14000000
SUM-159_NLS_2N_C_A11_seedT1,SUM-159,SUM-159_NLS_2N_C_A11_seed,SUM-159_NLS_2N_C_A11_seed,16,11,12/27/24,2,4017658,2N,control,20.5,1.189354391,372317,2,14000000
SUM-159_NLS_2N_C_A12_seed,SUM-159,SUM-159_NLS_2N_C_A11_seedT1,SUM-159_NLS_2N_C_A12_seed,17,12,12/27/24,0,441031,2N,control,20.5,0.899202901,441031,2,14000000
SUM-159_NLS_2N_C_A12_seedT1,SUM-159,SUM-159_NLS_2N_C_A12_seed,SUM-159_NLS_2N_C_A12_seed,17,12,12/30/24,3,6546749,2N,control,20.5,0.899202901,441031,2,14000000
SUM-159_NLS_2N_C_A2_seed,SUM-159,SUM-159_NLS_2N_C_A1_seedT1,SUM-159_NLS_2N_C_A2_seed,7,2,11/20/24,0,401065,2N,control,20.5,1.151117232,401065,2,14000000
SUM-159_NLS_2N_C_A2_seedT1,SUM-159,SUM-159_NLS_2N_C_A2_seed,SUM-159_NLS_2N_C_A2_seed,7,2,11/22/24,2,4009244,2N,control,20.5,1.151117232,401065,2,14000000
SUM-159_NLS_2N_C_A3_seed,SUM-159,SUM-159_NLS_2N_C_A2_seedT1,SUM-159_NLS_2N_C_A3_seed,8,3,11/26/24,0,749542,2N,control,20.5,2.104157192,749542,2,14000000
